"code","province","age_class","male","female","total"
"001","Torino","0",11722,11373,23095
"001","Torino","1-4",44066,44110,88176
"001","Torino","5-9",54966,54806,109772
"001","Torino","10-14",59341,58829,118170
"001","Torino","15-19",56291,58200,114491
"001","Torino","20-24",62014,57723,119737
"001","Torino","25-29",44890,50057,94947
"001","Torino","30-34",39807,44671,84478
"001","Torino","35-39",35558,40362,75920
"001","Torino","40-44",32774,36767,69541
"001","Torino","45-49",30966,34941,65907
"001","Torino","50-54",28927,32341,61268
"001","Torino","55-59",25747,28154,53901
"001","Torino","60-64",21767,24787,46554
"001","Torino","65-69",17829,19481,37310
"001","Torino","70-74",12234,13640,25874
"001","Torino","75-79",6808,7369,14177
"001","Torino","80-84",2951,3341,6292
"001","Torino","85+",931,1092,2023
"003","Novara","0",7957,7957,15914
"003","Novara","1-4",31053,30537,61590
"003","Novara","5-9",38559,38710,77269
"003","Novara","10-14",38240,39788,78028
"003","Novara","15-19",31852,41900,73752
"003","Novara","20-24",30016,36631,66647
"003","Novara","25-29",22863,30213,53076
"003","Novara","30-34",21899,28428,50327
"003","Novara","35-39",20220,25456,45676
"003","Novara","40-44",19034,23350,42384
"003","Novara","45-49",18394,22563,40957
"003","Novara","50-54",16697,19859,36556
"003","Novara","55-59",14614,17349,31963
"003","Novara","60-64",12944,15543,28487
"003","Novara","65-69",10573,12279,22852
"003","Novara","70-74",7472,8559,16031
"003","Novara","75-79",4322,4807,9129
"003","Novara","80-84",1890,2051,3941
"003","Novara","85+",585,697,1282
"004","Cuneo","0",8003,7856,15859
"004","Cuneo","1-4",30810,30353,61163
"004","Cuneo","5-9",35698,35533,71231
"004","Cuneo","10-14",35943,35240,71183
"004","Cuneo","15-19",28746,29416,58162
"004","Cuneo","20-24",29401,25844,55245
"004","Cuneo","25-29",20784,22307,43091
"004","Cuneo","30-34",19718,20460,40178
"004","Cuneo","35-39",18582,19018,37600
"004","Cuneo","40-44",17525,17271,34796
"004","Cuneo","45-49",16268,15878,32146
"004","Cuneo","50-54",15355,14996,30351
"004","Cuneo","55-59",14292,13412,27704
"004","Cuneo","60-64",12691,11924,24615
"004","Cuneo","65-69",10211,9125,19336
"004","Cuneo","70-74",7240,6108,13348
"004","Cuneo","75-79",3729,3018,6747
"004","Cuneo","80-84",1500,1193,2693
"004","Cuneo","85+",399,385,784
"006","Alessandria","0",9620,9217,18837
"006","Alessandria","1-4",36662,35963,72625
"006","Alessandria","5-9",44437,43641,88078
"006","Alessandria","10-14",44870,43586,88456
"006","Alessandria","15-19",36579,37240,73819
"006","Alessandria","20-24",33843,33085,66928
"006","Alessandria","25-29",26661,28517,55178
"006","Alessandria","30-34",23978,25546,49524
"006","Alessandria","35-39",22637,22552,45189
"006","Alessandria","40-44",21015,21244,42259
"006","Alessandria","45-49",20506,20045,40551
"006","Alessandria","50-54",19814,19302,39116
"006","Alessandria","55-59",17933,17082,35015
"006","Alessandria","60-64",14650,14393,29043
"006","Alessandria","65-69",12312,11509,23821
"006","Alessandria","70-74",8094,7639,15733
"006","Alessandria","75-79",4315,4120,8435
"006","Alessandria","80-84",1722,1720,3442
"006","Alessandria","85+",522,603,1125
"008","Portomaurizio","0",1465,1455,2920
"008","Portomaurizio","1-4",5515,5284,10799
"008","Portomaurizio","5-9",6566,6683,13249
"008","Portomaurizio","10-14",6760,6751,13511
"008","Portomaurizio","15-19",6076,6401,12477
"008","Portomaurizio","20-24",6819,5775,12594
"008","Portomaurizio","25-29",5069,5394,10463
"008","Portomaurizio","30-34",4926,5168,10094
"008","Portomaurizio","35-39",4645,4710,9355
"008","Portomaurizio","40-44",4378,4503,8881
"008","Portomaurizio","45-49",4254,4104,8358
"008","Portomaurizio","50-54",3784,3757,7541
"008","Portomaurizio","55-59",3436,3385,6821
"008","Portomaurizio","60-64",3212,3253,6465
"008","Portomaurizio","65-69",2698,2618,5316
"008","Portomaurizio","70-74",1917,1862,3779
"008","Portomaurizio","75-79",1104,1057,2161
"008","Portomaurizio","80-84",511,534,1045
"008","Portomaurizio","85+",197,227,424
"010","Genova","0",11986,11613,23599
"010","Genova","1-4",43430,42363,85793
"010","Genova","5-9",51551,50285,101836
"010","Genova","10-14",51366,50728,102094
"010","Genova","15-19",49111,50898,100009
"010","Genova","20-24",54548,49027,103575
"010","Genova","25-29",41541,42487,84028
"010","Genova","30-34",37903,38260,76163
"010","Genova","35-39",33724,33890,67614
"010","Genova","40-44",31151,30718,61869
"010","Genova","45-49",28840,27505,56345
"010","Genova","50-54",23963,23920,47883
"010","Genova","55-59",20239,20398,40637
"010","Genova","60-64",16109,17429,33538
"010","Genova","65-69",12748,13385,26133
"010","Genova","70-74",8585,9552,18137
"010","Genova","75-79",5081,5942,11023
