Age_column,Male_column,Female_column,Total
0,6304.0,5954,12258
1,6015.0,5673,11688
2,3377.0,3207,6584
3,2657.0,2653,5310
4,3129.0,2856,5985
5,4400.0,4215,8615
6,6389.0,5918,12257
7,6529.0,6233,12762
8,6829.0,6526,13855
9,7008.0,6800,13808
10,6904.0,7023,13927
11,7145.0,7177,14322
12,7315.0,7179,14494
13,7306.0,7256,14562
14 - 15,7143.0,7203,14346
15 - 16,6999.0,7210,14209
16 -17,7032.0,7252,14284
17 - 18,6989.0,7627,14616
18 - 19,6561.0,7213,13774
19 - 20,6511.0,7195,13706
20 -21,6289.0,7174,13463
21 - 25,23998.0,27382,51390
25 - 30,25350.0,31307,56657
30 - 35,24389.0,29499,53897
35 - 40,21659.0,26660,48319
40 - 45,21164.0,25382,46496
45 - 50,20054.0,22918,42972
50 - 55,17683.0,20360,37983
55 - 60,16826.0,19575,36401
60 - 65,14604.0,16721,31325
65 - 70,11049.0,12832,23881
70 - 75,8181.0,9906,18081
75 - 80,4933.0,5807,10740
80 - 85,2220.0,2790,5010
85 - 90,644.0,884,1528
90 - 95,112.0,181,293
95 - 100,10.0,19,29
oltre 100,,2,2
