Age_column,Male_column,Female_column,Total
0,6685.0,6479,13164
1,6836.0,6094,12630
2,4717.0,4618,9330
3,4014.0,3929,7943
4,4347.0,4285,8632
5,5451.0,5382,10833
6,6844.0,6829,13673
7,6807.0,6694,13501
8,7210.0,7052,14262
9,7269.0,7051,14320
10,7036.0,6989,13975
11,7145.0,6875,14020
12,7138.0,6954,14087
13,7102.0,6896,13998
14 - 15,6910.0,6755,13665
15 - 16,6789.0,6502,13291
16 -17,6411.0,6330,12741
17 - 18,6483.0,6443,12926
18 - 19,5800.0,5386,11636
19 - 20,6047.0,5866,11913
20 -21,6840.0,5707,12547
21 - 25,20268.0,21318,41581
25 - 30,20750.0,23132,43882
30 - 35,19225.0,21258,40483
35 - 40,18071.0,19360,37431
40 - 45,17699.0,17704,35403
45 - 50,16914.0,16703,33617
50 - 55,15097.0,14700,29797
55 - 60,13879.0,13409,27288
60 - 65,12256.0,11691,23947
65 - 70,10010.0,9323,19333
70 - 75,7229.0,6588,13817
75 - 80,4176.0,3671,7847
80 - 85,1673.0,1539,3212
85 - 90,424.0,422,846
90 - 95,57.0,74,131
95 - 100,7.0,7,14
oltre 100,,3,3
