Age_column,Male_column,Female_column,Total
0,1272,1303,2575
1,1225,1250,2475
2,769,724,1493
3,671,695,1366
4,760,703,1463
5,935,872,1807
6,1262,1189,2451
7,1305,1255,2560
8,1304,1355,2659
9,1318,1320,2638
10,1338,1377,2715
11,1370,1446,2816
12,1305,1363,2668
13,1407,1408,2315
14 - 15,1329,1328,2657
15 - 16,1356,1430,2786
16 -17,1390,1436,2826
17 - 18,1317,1360,2677
18 - 19,1314,1341,2655
19 - 20,1322,1346,2668
20 -21,1823,1291,3114
21 - 25,4966,4985,9951
25 - 30,5455,6059,11514
30 - 35,5275,5818,11093
35 - 40,4985,5360,10345
40 - 45,4992,4962,9954
45 - 50,4501,4518,9019
50 - 55,4205,4012,8217
55 - 60,4023,3791,7814
60 - 65,3382,3280,6612
65 - 70,2581,2559,5140
70 - 75,2084,2139,4223
75 - 80,1356,1297,2653
80 - 85,574,573,1147
85 - 90,179,187,366
90 - 95,19,38,57
95 - 100,1,8,9
oltre 100,1,1,2
