Age_column,Male_column,Female_column,Total
0,6902,6505,13407
1,6231,6236,12467
2,4171,4062,8283
3,3258,3270,6528
4,3566,3692,7258
5,5049,4801,9850
6,6545,6445,12999
7,6924,6835,13759
8,7053,7035,14088
9,7105,7095,14200
10,7316,7230,14546
11,7424,7503,14927
12,7250,7158,14408
13,7224,7358,14577
14 - 15,6901,6910,13811
15 - 16,6717,6715,13482
16 -17,6289,6665,12934
17 - 18,6476,6892,13868
18 - 19,5092,6523,12515
19 - 20,5951,6435,12386
20 -21,4442,6096,10538
21 - 25,20226,23853,44079
25 - 30,21238,25672,46913
30 - 35,20441,24269,44710
35 - 40,19289,22317,41556
40 - 45,18586,20091,88677
45 - 50,16056,17928,33984
50 - 55,13667,14843,28510
55 - 60,12142,13449,25591
60 - 65,10491,11579,22070
65 - 70,8774,9580,18354
70 - 75,5844,6717,12561
75 - 80,3565,3824,7389
80 - 85,1483,1720,3203
85 - 90,409,520,929
90 - 95,70,129,193
95 - 100,6,23,29
oltre 100,1,-,1
