Age_column,Male_column,Female_column,Total
0,9221,9034,18255
1,7369,7204,14573
2,5252,5261,10513
3,4121,4121,8242
4,4288,4406,8698
5,5609,5768,11375
6,7053,6812,13865
7,7234,7025,14259
8,7450,7222,14672
9,7076,6960,14036
10,7303,7087,14390
11,7130,7075,14205
12,6903,6860,13563
13,6926,6739,13665
14 - 15,6680,6647,13827
15 - 16,6396,6493,12829
16 -17,6085,6031,12116
17 - 18,6036,6001,12037
18 - 19,5470,5918,11388
19 - 20,5431,5797,11228
20 -21,3545,5475,9020
21 - 25,17083,20036,37719
25 - 30,18288,21943,40231
30 - 35,17062,20236,37298
35 - 40,15666,17751,38317
40 - 45,15006,15559,30565
45 - 50,12873,13286,26158
50 - 55,11076,11260,22386
55 - 60,9765,9620,19885
60 - 65,7897,8124,16021
65 - 70,5881,6066,11947
70 - 75,3868,3851,7714
75 - 80,2079,2053,4132
80 - 85,684,753,1437
85 - 90,170,185,355
90 - 95,24,35,59
95 - 100,5,19,24
oltre 100,-,-,-
