Age_column,Male_column,Female_column,Total
0,4509,4298,8892
1,4394,4187,8581
2,2478,2429,4907
3,1805,1713,3518
4,1940,1937,3877
5,2995,2986,5981
6,3819,3741,7560
7,3947,3906,7853
8,4090,4059,8149
9,4021,3936,7957
10,4145,4003,8148
11,4206,3985,8191
12,4082,3893,7925
13,3843,3858,7696
14 - 15,3948,3854,7802
15 - 16,3856,3775,7631
16 -17,3686,3535,7221
17 - 18,3877,3862,7739
18 - 19,3462,3400,6862
19 - 20,3533,3497,7030
20 -21,2781,3278,6059
21 - 25,12475,12501,24976
25 - 30,12993,14255,27248
30 - 35,11282,12766,24594
35 - 40,10749,11748,22497
40 - 45,9822,10092,19914
45 - 50,9437,9481,18918
50 - 55,8889,8903,17792
55 - 60,7918,8037,15955
60 - 65,6440,6378,12818
65 - 70,4923,5021,9944
70 - 75,3169,3364,6533
75 - 80,2019,2017,4036
80 - 85,775,815,1590
85 - 90,196,194,390
90 - 95,27,37,64
95 - 100,2,12,14
oltre 100,-,-,-
