Age_column,Male_column,Female_column,Total
0,4940,4763,9703
1,5092,4960,10052
2,3058,3014,6072
3,2325,2173,4498
4,2293,2336,4629
5,3344,3320,6664
6,4441,4222,8668
7,4375,4324,8699
8,4552,4269,8821
9,4566,4557,9153
10,4479,4495,8974
11,4258,4267,8525
12,4192,4025,8217
13,4082,3875,7957
14 - 15,4032,3912,7944
15 - 16,3985,3843,7828
16 -17,3857,3695,7552
17 - 18,3992,3811,7803
18 - 19,3741,3888,7129
19 - 20,3802,3624,7426
20 -21,3136,3397,6533
21 - 25,13015,13441,26456
25 - 30,13862,14626,28488
30 - 35,12688,13246,25934
35 - 40,11366,11351,22717
40 - 45,10413,10000,20413
45 - 50,9721,9384,19105
50 - 55,9187,8464,17651
55 - 60,8271,7900,16717
60 - 65,6310,6134,12444
65 - 70,4571,4721,9292
70 - 75,3500,3773,7273
75 - 80,2242,2263,4505
80 - 85,996,1115,2111
85 - 90,283,338,621
90 - 95,35,62,97
95 - 100,7,7,14
oltre 100,-,-,-
