Age_column,Male_column,Female_column,Total
0,3757.0,3454.0,7211.0
1,3792.0,3802.0,7594.0
2,1816.0,1834.0,3650.0
3,1507.0,1564.0,3071.0
4,1889.0,1798.0,3687.0
5,2200.0,2174.0,4374.0
6,2735.0,2849.0,5584.0
7,2755.0,2693.0,5448.0
8,3001.0,2863.0,5864.0
9,2865.0,2870.0,5735.0
10,2992.0,2867.0,5859.0
11,2880.0,2937.0,5817.0
12,2892.0,2975.0,5867.0
13,2669.0,2707.0,5367.0
14 - 15,2515.0,2642.0,5157.0
15 - 16,2495.0,2539.0,5034.0
16 -17,2326.0,2360.0,4686.0
17 - 18,2406.0,2294.0,4700.0
18 - 19,2231.0,2181.0,4412.0
19 - 20,2357.0,2287.0,4644.0
20 -21,2493.0,2195.0,4688.0
21 - 25,7253.0,7881.0,15134.0
25 - 30,7297.0,8156.0,15453.0
30 - 35,6583.0,7313.0,13896.0
35 - 40,5811.0,6789.0,12600.0
40 - 45,5373.0,5864.0,11237.0
45 - 50,4976.0,5688.0,10664.0
50 - 55,4533.0,5209.0,9742.0
55 - 60,4061.0,4736.0,8797.0
60 - 65,3524.0,4173.0,7697.0
65 - 70,2635.0,2983.0,5618.0
70 - 75,1862.0,2194.0,4056.0
75 - 80,1273.0,1503.0,2776.0
80 - 85,628.0,671.0,1299.0
85 - 90,232.0,243.0,475.0
90 - 95,26.0,44.0,70.0
95 - 100,10.0,20.0,30.0
oltre 100,,,
