Age_column,Male_column,Female_column,Total
0,8222.0,7642.0,15864.0
1,7784.0,7553.0,15337.0
2,4942.0,4993.0,9935.0
3,3666.0,3516.0,7172.0
4,4158.0,4041.0,8199.0
5,5282.0,5064.0,10346.0
6,6329.0,6242.0,12571.0
7,6596.0,6435.0,13031.0
8,6512.0,6402.0,12914.0
9,6321.0,6044.0,12365.0
10,6205.0,6256.0,12461.0
11,6047.0,6021.0,12068.0
12,5759.0,5599.0,11358.0
13,5769.0,5603.0,11372.0
14 - 15,5810.0,5702.0,11152.0
15 - 16,5417.0,5363.0,10780.0
16 -17,5278.0,5269.0,10547.0
17 - 18,5617.0,5504.0,11121.0
18 - 19,5266.0,5166.0,10432.0
19 - 20,5271.0,5127.0,10398.0
20 -21,5379.0,4775.0,10154.0
21 - 25,18151.0,18882.0,37033.0
25 - 30,20136.0,20635.0,40771.0
30 - 35,17449.0,18041.0,35490.0
35 - 40,14891.0,15718.0,30609.0
40 - 45,13198.0,12962.0,26160.0
45 - 50,12157.0,12011.0,24168.0
50 - 55,10198.0,10338.0,20536.0
55 - 60,9304.0,9914.0,19218.0
60 - 65,7436.0,8207.0,15643.0
65 - 70,5355.0,6279.0,11634.0
70 - 75,3829.0,4783.0,8612.0
75 - 80,2227.0,3022.0,5249.0
80 - 85,955.0,1447.0,2402.0
85 - 90,260.0,452.0,712.0
90 - 95,48.0,87.0,135.0
95 - 100,8.0,13.0,21.0
oltre 100,,,
