Age_column,Male_column,Female_column,Total
0,10785,10644,21429
1,11288,10951,22239
2,6053,5944,11997
3,4855,4957,9812
4,5779,5824,11603
5,7013,7075,14088
6,8850,8599,17449
7,8849,8736,17585
8,9169,9015,18184
9,9460,9268,18728
10,9625,9388,19013
11,9538,9388,18926
12,9455,9093,18548
13,9265,8852,18117
14 - 15,8668,8403,17071
15 - 16,8464,8379,16843
16 -17,7586,7581,15167
17 - 18,7479,7799,15278
18 - 19,6396,7426,14322
19 - 20,6877,7655,14532
20 -21,7860,6851,14711
21 - 25,21138,24699,45887
25 - 30,21937,27194,49131
30 - 35,19923,24612,44535
35 - 40,18398,22119,40517
40 - 45,16849,19221,36070
45 - 50,15623,17133,32756
50 - 55,13627,14432,28059
55 - 60,12724,13704,26428
60 - 65,11190,11825,23015
65 - 70,8471,9226,17697
70 - 75,6567,6917,13484
75 - 80,4249,4238,8487
80 - 85,2041,2164,4205
85 - 90,687,642,1329
90 - 95,130,150,280
95 - 100,26,33,59
oltre 100,-,1,1
