Age_column,Male_column,Female_column,Total
0,4948,4872,9820
1,4719,4595,9314
2,2506,2518,5024
3,2416,2444,4860
4,2678,2520,5198
5,3367,3292,6659
6,4216,4173,8389
7,4477,4458,8935
8,4669,4572,9241
9,4570,4421,8991
10,4345,4460,8805
11,4415,4350,8765
12,3948,3853,7801
13,3987,4008,7995
14 - 15,3911,3867,7778
15 - 16,3655,3607,7262
16 -17,3693,3421,7114
17 - 18,3587,3480,7067
18 - 19,3311,3326,6637
19 - 20,3407,3185,6592
20 -21,2629,3061,5690
21 - 25,11932,12085,24017
25 - 30,12654,13401,26058
30 - 35,13927,14352,28279
35 - 40,10676,9671,20357
40 - 45,8803,8423,17226
45 - 50,8177,7654,15831
50 - 55,7168,7389,14557
55 - 60,7151,6615,13766
60 - 65,5663,5688,11351
65 - 70,4155,4113,8268
70 - 75,3247,2983,6230
75 - 80,1803,1765,3568
80 - 85,668,771,1439
85 - 90,182,240,422
90 - 95,33,52,85
95 - 100,34,92,126
oltre 100,6,11,15
