Age_column,Male_column,Female_column,Total
0,7718,7501,15219
1,7569,7405,14974
2,5108,4953,10061
3,3977,3947,7924
4,4216,4293,8509
5,5524,5387,10911
6,7027,6918,13945
7,7302,7103,14405
8,7663,7360,15023
9,7412,7183,14595
10,7433,7083,14466
11,7183,6873,14056
12,6921,6812,13783
13,6824,6634,13458
14 - 15,6609,6292,12901
15 - 16,6303,6186,12489
16 -17,6342,6070,12412
17 - 18,6360,6368,12728
18 - 19,5733,5511,11244
19 - 20,6084,5981,12065
20 -21,7802,5782,13584
21 - 25,21616,21982,43598
25 - 30,23690,24605,50095
30 - 35,23167,23934,47101
35 - 40,18427,21045,39472
40 - 45,17256,17974,35230
45 - 50,16382,16069,32401
50 - 55,14708,14705,29413
55 - 60,14540,14410,28950
60 - 65,12226,12841,25067
65 - 70,8406,8216,16622
70 - 75,6351,6740,13091
75 - 80,3761,4116,7877
80 - 85,1399,1648,3047
85 - 90,372,538,910
90 - 95,60,103,163
95 - 100,5,23,23
oltre 100,3,2,5
