Age_column,Male_column,Female_column,Total
0,5476.0,5209.0,10685.0
1,5415.0,5095.0,10510.0
2,3549.0,3485.0,7034.0
3,2513.0,2312.0,4825.0
4,2624.0,2571.0,5195.0
5,3401.0,3200.0,6601.0
6,4217.0,4305.0,8522.0
7,4625.0,4409.0,9034.0
8,4747.0,4655.0,9402.0
9,4493.0,4496.0,8989.0
10,4533.0,4414.0,8947.0
11,4424.0,4306.0,8730.0
12,4244.0,3998.0,8242.0
13,4052.0,3904.0,7956.0
14 - 15,4040.0,3747.0,7787.0
15 - 16,3640.0,3681.0,7321.0
16 -17,3835.0,3695.0,7530.0
17 - 18,3690.0,3628.0,7318.0
18 - 19,3347.0,3397.0,6744.0
19 - 20,3695.0,3411.0,7106.0
20 -21,2866.0,3085.0,5951.0
21 - 25,11090.0,11988.0,23078.0
25 - 30,12089.0,13169.0,25258.0
30 - 35,10415.0,11218.0,21633.0
35 - 40,9671.0,10174.0,19845.0
40 - 45,8027.0,8044.0,16071.0
45 - 50,8369.0,7957.0,16326.0
50 - 55,6926.0,6532.0,13458.0
55 - 60,7018.0,6673.0,13691.0
60 - 65,5778.0,5730.0,11508.0
65 - 70,4045.0,4122.0,8167.0
70 - 75,2928.0,3182.0,6110.0
75 - 80,1778.0,1992.0,3770.0
80 - 85,640.0,921.0,1561.0
85 - 90,149.0,284.0,433.0
90 - 95,22.0,44.0,66.0
95 - 100,8.0,10.0,18.0
oltre 100,,,
