Age_column,Male_column,Female_column,Total
0,4709,4428,9137
1,4463,4240,8703
2,2922,2919,5841
3,2238,2221,4459
4,2252,2234,4486
5,3041,2981,6022
6,3903,3793,7696
7,3973,4003,7976
8,4179,4008,8187
9,4182,4099,8281
10,4239,4016,8255
11,4119,4092,8211
12,3677,3567,7244
13,3663,3710,7373
14 - 15,3629,3485,7114
15 - 16,3321,3415,6736
16 -17,3315,3280,6595
17 - 18,3196,3305,6500
18 - 19,2894,2918,5812
19 - 20,3132,3111,6243
20 -21,2925,2986,5911
21 - 25,10211,10921,21132
25 - 30,11324,12548,23872
30 - 35,10356,11529,21885
35 - 40,10008,10756,20764
40 - 45,8883,8861,17744
45 - 50,7804,7721,15525
50 - 55,7043,6936,13979
55 - 60,7059,6760,13819
60 - 65,5922,5904,11826
65 - 70,4665,4276,8941
70 - 75,3621,3370,6991
75 - 80,2120,1925,4045
80 - 85,754,796,1550
85 - 90,215,268,483
90 - 95,45,31,76
95 - 100,3,5,8
oltre 100,1,1,2
