Age_column,Male_column,Female_column,Total
0,3999.0,3945,7944
1,3948.0,3817,7765
2,2544.0,2459,5003
3,1747.0,1693,3440
4,2032.0,1877,3909
5,2697.0,2525,5222
6,3520.0,3326,6841
7,3656.0,3409,7065
8,3487.0,3369,6856
9,3573.0,3401,6974
10,3588.0,3326,6914
11,3589.0,3395,6984
12,3142.0,2915,6057
13,3085.0,2906,5991
14 - 15,2931.0,2847,5778
15 - 16,3020.0,2926,5946
16 -17,2918.0,2881,5799
17 - 18,2830.0,2770,5600
18 - 19,2361.0,2526,4887
19 - 20,2555.0,2609,5164
20 -21,2224.0,2403,4627
21 - 25,8683.0,9510,18193
25 - 30,8835.0,10589,19424
30 - 35,8186.0,9272,17458
35 - 40,7840.0,8717,16557
40 - 45,7223.0,7472,14695
45 - 50,6576.0,6592,13168
50 - 55,6393.0,6199,12592
55 - 60,6199.0,6099,12298
60 - 65,5610.0,5464,11074
65 - 70,4087.0,3854,7941
70 - 75,3117.0,2949,6066
75 - 80,1775.0,1672,3447
80 - 85,603.0,664,1267
85 - 90,201.0,200,401
90 - 95,26.0,33,59
95 - 100,2.0,5,7
oltre 100,,1,1
