Age_column,Male_column,Female_column,Total
0,3711,3465.0,7176
1,3627,3478.0,7105
2,2448,2384.0,4832
3,1919,1708.0,3627
4,1882,1829.0,3711
5,2573,2481.0,5054
6,3251,2905.0,6156
7,3138,2966.0,6104
8,3206,3022.0,6228
9,3146,3052.0,6198
10,3156,3037.0,6193
11,3369,3183.0,6552
12,3178,2980.0,6158
13,3082,2873.0,5955
14 - 15,2922,2844.0,5766
15 - 16,2903,2809.0,5712
16 -17,2944,2660.0,5604
17 - 18,2472,2442.0,4914
18 - 19,2215,2367.0,4582
19 - 20,2303,2447.0,4750
20 -21,1478,2296.0,3774
21 - 25,7478,9448.0,16926
25 - 30,7439,10657.0,18096
30 - 35,6857,9692.0,16579
35 - 40,6838,8532.0,15370
40 - 45,6537,7471.0,14008
45 - 50,5768,6371.0,12139
50 - 55,5564,5979.0,11543
55 - 60,5792,6072.0,11864
60 - 65,5228,5512.0,10740
65 - 70,3948,4006.0,7954
70 - 75,3261,3245.0,6506
75 - 80,1927,1883.0,3810
80 - 85,810,853.0,1663
85 - 90,239,294.0,533
90 - 95,38,59.0,97
95 - 100,9,9.0,18
oltre 100,1,,1
