Age_column,Male_column,Female_column,Total
0,3397,3407,6804
1,3243,3270,6513
2,1925,1959,3884
3,1615,1552,3167
4,1728,1650,3278
5,2011,1970,3981
6,2697,2714,5411
7,2902,2750,5652
8,2871,2774,5045
9,2790,2680,5470
10,2703,2851,5354
11,2772,2347,5419
12,2784,2712,5498
13,2625,2573,5198
14 - 15,2449,2429,4878
15 - 16,2493,2450,4943
16 -17,2537,2419,4956
17 - 18,2365,2368,4733
18 - 19,2320,2288,4608
19 - 20,2176,2376,4552
20 -21,1512,2152,3664
21 - 25,7501,8508,16004
25 - 30,7816,9125,16941
30 - 35,6709,7802,14511
35 - 40,5753,6488,12239
40 - 45,5282,5511,10793
45 - 50,5041,5148,10189
50 - 55,4687,4721,9408
55 - 60,4475,4430,8905
60 - 65,3674,3661,7335
65 - 70,2683,2576,5259
70 - 75,2255,2112,4367
75 - 80,1411,1188,2599
80 - 85,599,581,1180
85 - 90,192,206,398
90 - 95,50,41,91
95 - 100,8,9,17
oltre 100,2,2,4
