Age_column,Male_column,Female_column,Total
0,4297,3979,8276
1,4118,3906,8024
2,2572,2601,5173
3,2013,1940,3983
4,2123,1981,4104
5,2661,2607,5271
6,3681,3502,7183
7,3776,3629,7405
8,3887,3715,7602
9,3797,3790,7587
10,3937,3814,7751
11,4006,3803,7809
12,3904,3983,7887
13,3776,3827,7603
14 - 15,3650,3668,7318
15 - 16,3704,3714,7418
16 -17,3677,3753,7430
17 - 18,3474,3628,7102
18 - 19,3096,3436,6532
19 - 20,3130,3600,6730
20 -21,2329,3358,5687
21 - 25,10626,13169,23795
25 - 30,10865,14290,25155
30 - 35,9949,12794,22243
35 - 40,8702,11234,19936
40 - 45,8363,10071,18484
45 - 50,8596,9047,17103
50 - 55,7588,8498,15857
55 - 60,7553,8341,15894
60 - 65,6335,7335,13670
65 - 70,4986,5583,10569
70 - 75,4344,4628,8972
75 - 80,2728,2711,5439
80 - 85,1213,1278,2491
85 - 90,461,494,955
90 - 95,104,113,217
95 - 100,8,20,28
oltre 100,1,3,4
