Age_column,Male_column,Female_column,Total
0,1565,1500.0,3065
1,1566,1570.0,3136
2,1038,1014.0,2052
3,929,913.0,1842
4,980,977.0,1957
5,1056,1073.0,2129
6,1224,1220.0,2444
7,1331,1289.0,2620
8,1412,1386.0,2798
9,1272,1313.0,2585
10,1378,1412.0,2791
11,1356,1320.0,2676
12,1375,1307.0,2682
13,1435,1445.0,2880
14 - 15,1363,1411.0,2774
15 - 16,1288,1386.0,2624
16 -17,1353,1387.0,2690
17 - 18,1235,1300.0,2535
18 - 19,1353,1277.0,2630
19 - 20,1418,1266.0,2684
20 -21,2349,1218.0,3567
21 - 25,5379,4915.0,10294
25 - 30,5400,5943.0,11343
30 - 35,5257,5381.0,10638
35 - 40,4856,4962.0,9818
40 - 45,4399,4392.0,8791
45 - 50,3884,3985.0,7869
50 - 55,3245,3429.0,6674
55 - 60,3263,3517.0,6780
60 - 65,2647,2964.0,5611
65 - 70,1849,2144.0,3993
70 - 75,1490,1814.0,3304
75 - 80,788,1028.0,1816
80 - 85,296,489.0,785
85 - 90,102,150.0,252
90 - 95,21,35.0,56
95 - 100,1,3.0,4
oltre 100,1,,1
