Age_column,Male_column,Female_column,Total
0,3115.0,2990.0,6105.0
1,2915.0,2811.0,5731.0
2,1802.0,1797.0,3599.0
3,1333.0,1339.0,2672.0
4,1299.0,1322.0,2621.0
5,1880.0,1753.0,3633.0
6,2658.0,2614.0,5272.0
7,2722.0,2659.0,5381.0
8,2652.0,2734.0,5386.0
9,2679.0,2716.0,5395.0
10,2735.0,2684.0,5419.0
11,2975.0,2698.0,5688.0
12,2614.0,2478.0,5092.0
13,2615.0,2567.0,5182.0
14 - 15,2495.0,2395.0,4890.0
15 - 16,2427.0,2451.0,4878.0
16 -17,2368.0,2421.0,4739.0
17 - 18,2412.0,2407.0,4819.0
18 - 19,2232.0,2209.0,4441.0
19 - 20,2160.0,2138.0,4298.0
20 -21,1560.0,2025.0,3585.0
21 - 25,7837.0,8230.0,16067.0
25 - 30,8655.0,9660.0,18315.0
30 - 35,8099.0,8981.0,17590.0
35 - 40,8125.0,8535.0,16678.0
40 - 45,7537.0,7010.0,14607.0
45 - 50,6907.0,6075.0,13092.0
50 - 55,6419.0,5605.0,12024.0
55 - 60,6222.0,5542.0,11764.0
60 - 65,5247.0,4534.0,9781.0
65 - 70,4164.0,3557.0,7721.0
70 - 75,3147.0,2734.0,5881.0
75 - 80,1737.0,1348.0,3085.0
80 - 85,508.0,485.0,993.0
85 - 90,162.0,155.0,317.0
90 - 95,21.0,34.0,55.0
95 - 100,6.0,2.0,8.0
oltre 100,,,
