Age_column,Male_column,Female_column,Total
0,2292.0,2231,4523
1,2108.0,2092,4260
2,1382.0,1357,2739
3,1079.0,1016,2095
4,1095.0,1022,2117
5,1358.0,1377,2735
6,1938.0,1937,3875
7,1955.0,1801,3756
8,1950.0,1853,3812
9,1868.0,1859,3727
10,1978.0,1849,3827
11,1949.0,1831,3780
12,1801.0,1747,3548
13,1799.0,1738,3587
14 - 15,1745.0,1610,3555
15 - 16,1732.0,1599,3331
16 -17,1700.0,1619,3409
17 - 18,1759.0,1515,3274
18 - 19,1703.0,1503,3206
19 - 20,1627.0,1421,3048
20 -21,1064.0,1366,2430
21 - 25,6082.0,5493,11575
25 - 30,6596.0,6422,13018
30 - 35,6231.0,5913,12144
35 - 40,5895.0,5263,11158
40 - 45,4690.0,3855,8545
45 - 50,4486.0,3430,7916
50 - 55,4040.0,3281,7321
55 - 60,3709.0,3019,6728
60 - 65,3046.0,2565,5611
65 - 70,2055.0,1834,3889
70 - 75,1554.0,1292,2846
75 - 80,750.0,744,1494
80 - 85,258.0,275,533
85 - 90,90.0,83,173
90 - 95,16.0,20,36
95 - 100,1.0,2,3
oltre 100,,1,1
