Age_column,Male_column,Female_column,Total
0,10623.0,9913,20536
1,9951.0,9397,19348
2,6971.0,6855,13656
3,5241.0,4973,10214
4,5379.0,5228,10067
5,6826.0,6680,13506
6,8728.0,8342,17070
7,8817.0,8382,17199
8,9096.0,8456,17552
9,8946.0,8234,17180
10,8614.0,8278,16892
11,8796.0,8368,17164
12,8318.0,7979,16297
13,7820.0,7416,15236
14 - 15,7818.0,7233,15051
15 - 16,7369.0,7217,14586
16 -17,7172.0,6927,14099
17 - 18,6843.0,6816,13659
18 - 19,6240.0,6182,12422
19 - 20,6407.0,6488,12895
20 -21,4942.0,5822,10764
21 - 25,22506.0,24613,47119
25 - 30,24245.0,27583,51828
30 - 35,23245.0,25814,49059
35 - 40,21744.0,22796,44540
40 - 45,18763.0,19106,37889
45 - 50,18670.0,17674,36344
50 - 55,17656.0,16440,34096
55 - 60,16934.0,15561,32495
60 - 65,15243.0,14140,29883
65 - 70,11939.0,10521,22460
70 - 75,9439.0,7806,17245
75 - 80,5416.0,4354,9770
80 - 85,2024.0,1834,3858
85 - 90,701.0,615,1316
90 - 95,173.0,148,321
95 - 100,27.0,31,58
oltre 100,,2,2
