Age_column,Male_column,Female_column,Total
0,19890,18670,38560
1,19495,18742,38237
2,12307,11777,24081
3,9731,9371,19102
4,10663,10364,21027
5,12813,12178,24991
6,16014,15253,31267
7,16450,15277,30727
8,16397,15984,32321
9,16146,15550,31696
10,15743,15163,30906
11,16003,15108,31106
12,15816,15176,30992
13,15809,14636,29945
14 - 15,14296,14095,28391
15 - 16,14093,13882,27975
16 -17,14254,13807,28061
17 - 18,14092,13607,27699
18 - 19,14220,13051,27271
19 - 20,16545,13028,29751
20 -21,21651,12486,24087
21 - 25,58317,54260,112397
25 - 30,58901,62818,121719
30 - 35,54375,59531,113906
35 - 40,48644,51388,99982
40 - 45,41400,41562,82962
45 - 50,38018,37516,75534
50 - 55,34840,34178,69018
55 - 60,32458,30936,63994
60 - 65,27643,26824,54467
65 - 70,19766,19463,39229
70 - 75,13179,18823,27002
75 - 80,6898,7115,14013
80 - 85,2569,3115,5684
85 - 90,712,923,1635
90 - 95,141,235,376
95 - 100,32,39,71
oltre 100,6,11,17
