Age_column,Male_column,Female_column,Total
0,11949,11005,22954
1,11193,10512,21705
2,8357,7781,16138
3,6452,6135,12587
4,6701,6556,13257
5,8122,7660,15782
6,9853,9403,19256
7,9739,9329,19068
8,9959,9518,19477
9,9682,9383,19065
10,9360,9002,18362
11,9696,9120,18816
12,10143,9381,19524
13,9668,9081,18749
14 - 15,8698,8325,17023
15 - 16,8618,8085,16703
16 -17,8590,8323,16913
17 - 18,7876,7976,15852
18 - 19,8783,7444,16227
19 - 20,10848,7330,18178
20 -21,8747,7108,15855
21 - 25,26577,29655,56232
25 - 30,23717,29611,53328
30 - 35,21465,27127,48592
35 - 40,19270,23482,42752
40 - 45,18803,21400,40203
45 - 50,18618,19987,38605
50 - 55,16854,18765,35619
55 - 60,16350,16960,33310
60 - 65,15583,17185,32768
65 - 70,11864,12787,24651
70 - 75,10001,10703,20704
75 - 80,5511,5618,11129
80 - 85,2473,2751,5224
85 - 90,605,768,1373
90 - 95,139,208,347
95 - 100,31,32,63
oltre 100,–,2,2
