Age_column,Male_column,Female_column,Total
0,3578.0,3327.0,6905.0
1,3287.0,3180.0,6467.0
2,2462.0,2363.0,4825.0
3,1804.0,1782.0,3586.0
4,2048.0,1866.0,3914.0
5,2493.0,2310.0,4803.0
6,3126.0,3015.0,6141.0
7,3091.0,3084.0,6175.0
8,3351.0,2990.0,6341.0
9,3201.0,3160.0,6361.0
10,3133.0,3100.0,6233.0
11,3286.0,3114.0,6400.0
12,3294.0,3062.0,6356.0
13,3106.0,3005.0,6111.0
14 - 15,2945.0,2865.0,5810.0
15 - 16,3107.0,2910.0,6017.0
16 -17,2939.0,2828.0,5767.0
17 - 18,2583.0,2626.0,5209.0
18 - 19,2319.0,2438.0,4757.0
19 - 20,2124.0,2302.0,4426.0
20 -21,1814.0,2247.0,4061.0
21 - 25,8220.0,9550.0,17770.0
25 - 30,7216.0,9808.0,17024.0
30 - 35,6744.0,8709.0,15453.0
35 - 40,6468.0,8082.0,14550.0
40 - 45,6193.0,7400.0,13593.0
45 - 50,6356.0,7109.0,13465.0
50 - 55,5640.0,6286.0,11926.0
55 - 60,5292.0,5929.0,11221.0
60 - 65,5427.0,5768.0,11195.0
65 - 70,4617.0,4533.0,9150.0
70 - 75,4019.0,3748.0,7767.0
75 - 80,1995.0,1804.0,3799.0
80 - 85,891.0,806.0,1697.0
85 - 90,275.0,223.0,498.0
90 - 95,48.0,64.0,112.0
95 - 100,9.0,8.0,17.0
oltre 100,,,
