Age_column,Male_column,Female_column,Total
0,19526,18441,37967
1,16858,16197,33055
2,12908,12964,25872
3,11298,11387,22685
4,12813,12395,25208
5,13789,12896,26685
6,15779,15127,30906
7,16088,15398,31486
8,16237,15404,31641
9,15386,15028,30414
10,15351,14230,29581
11,15883,15088,30971
12,15103,14397,29500
13,14881,14732,29613
14 - 15,13535,13617,27152
15 - 16,14551,13915,28466
16 -17,13685,13312,26997
17 - 18,14099,14052,28151
18 - 19,13076,13415,26491
19 - 20,13284,13292,26576
20 -21,11846,12495,24341
21 - 25,52408,54749,107157
25 - 30,54246,61621,115867
30 - 35,51424,56908,108332
35 - 40,42514,47434,89948
40 - 45,39639,43325,82964
45 - 50,36500,40149,76649
50 - 55,33443,35249,68692
55 - 60,29179,31081,60260
60 - 65,26182,28707,54889
65 - 70,18568,19619,38187
70 - 75,13429,15673,29102
75 - 80,7309,7750,15059
80 - 85,3254,4209,7463
85 - 90,867,1242,2109
90 - 95,184,371,555
95 - 100,39,77,116
oltre 100,1,4,5
