Age_column,Male_column,Female_column,Total
0,5856.0,5701,11557
1,5595.0,5263,10858
2,4124.0,3923,8047
3,3225.0,3273,6498
4,2217.0,3097,6314
5,3868.0,3800,7668
6,4855.0,4765,9620
7,5084.0,4922,10006
8,5083.0,4845,9928
9,4706.0,4554,9260
10,4739.0,4568,9307
11,4834.0,4690,9524
12,5128.0,4855,9983
13,4603.0,4396,8999
14 - 15,4319.0,4112,8431
15 - 16,4317.0,4240,8563
16 -17,4305.0,4205,8510
17 - 18,3827.0,3858,7685
18 - 19,3382.0,3543,6875
19 - 20,3318.0,3543,6861
20 -21,2825.0,3270,5595
21 - 25,12128.0,14176,26389
25 - 30,10487.0,14183,24670
30 - 35,9559.0,12828,22387
35 - 40,8846.0,11422,20268
40 - 45,8396.0,10339,19275
45 - 50,9227.0,10086,19813
50 - 55,8291.0,9254,17545
55 - 60,8417.0,9000,17417
60 - 65,8545.0,9152,17697
65 - 70,7238.0,7322,14560
70 - 75,5999.0,5658,11657
75 - 80,3089.0,2780,5869
80 - 85,1396.0,1302,2698
85 - 90,396.0,406,802
90 - 95,84.0,77,161
95 - 100,11.0,20,31
oltre 100,,2,2
