Age_column,Male_column,Female_column,Total
0,8706,8073,16779
1,7194,6768,13962
2,6054,5478,11532
3,4696,3999,8695
4,4996,4589,9585
5,5069,5688,10757
6,7057,6658,13715
7,7289,6719,14008
8,7278,6770,14048
9,7141,6714,13855
10,7005,6495,13500
11,7290,6684,13974
12,7155,6790,13945
13,7038,6513,13551
14 - 15,6560,6356,12916
15 - 16,6255,6156,12411
16 -17,6224,6059,12283
17 - 18,6020,6116,12136
18 - 19,5195,5961,11156
19 - 20,5142,5198,10340
20 -21,4210,4890,9100
21 - 25,18284,20846,39130
25 - 30,18932,20788,39720
30 - 35,15356,20384,35740
35 - 40,13302,15853,29155
40 - 45,13562,15158,28720
45 - 50,12658,13342,26000
50 - 55,11365,12976,24341
55 - 60,10771,11643,22414
60 - 65,10434,10374,20808
65 - 70,8542,9349,17891
70 - 75,7520,8249,15769
75 - 80,4358,4332,8690
80 - 85,2372,2325,4697
85 - 90,741,814,1555
90 - 95,172,226,398
95 - 100,39,37,76
oltre 100,1,3,4
