Age_column,Male_column,Female_column,Total
0,5617,11535,5918
1,5394,11215,5821
2,3759,7803,4044
3,2836,5949,3113
4,3012,6301,3289
5,4032,8334,4302
6,4601,9471,4870
7,4348,8988,4640
8,4530,9266,4736
9,4430,9142,4712
10,4125,8352,4227
11,4409,9040,4631
12,4636,9266,4630
13,4065,8213,4148
14 - 15,3943,7711,3768
15 - 16,3848,7492,3644
16 -17,4065,7850,3785
17 - 18,3621,6840,3219
18 - 19,3441,6146,2705
19 - 20,3392,6445,3053
20 -21,3296,6228,2932
21 - 25,13563,24326,10763
25 - 30,14923,25073,10150
30 - 35,13717,23255,9538
35 - 40,12253,21814,9561
40 - 45,11008,19921,8913
45 - 50,10335,19515,9180
50 - 55,9632,18523,8891
55 - 60,9219,17910,8691
60 - 65,8581,17074,8493
65 - 70,6661,13627,6966
70 - 75,5143,10533,5390
75 - 80,2622,5717,3095
80 - 85,1157,2443,1286
85 - 90,320,671,351
90 - 95,77,139,62
95 - 100,13,26,13
oltre 100,4,5,1
