Age_column,Male_column,Female_column,Total
0,5570,5374,10944
1,5420,5071,10491
2,3658,3439,7097
3,2579,2524,5103
4,2881,2811,5692
5,3573,3402,6975
6,4636,4352,8988
7,4315,4087,8402
8,4294,4103,8397
9,4298,3923,8221
10,3993,3891,7884
11,4518,4334,8852
12,4245,4166,8411
13,4200,4069,8269
14 - 15,3848,3802,7650
15 - 16,3979,4002,7981
16 -17,3921,3882,7803
17 - 18,3350,3475,6825
18 - 19,2787,3153,5940
19 - 20,3162,3368,6530
20 -21,2836,3438,6274
21 - 25,11021,13449,24470
25 - 30,9058,13984,28042
30 - 35,8742,13201,21943
35 - 40,8627,11873,20500
40 - 45,8490,10933,19423
45 - 50,8097,9748,17845
50 - 55,7862,9131,16993
55 - 60,7707,8846,16553
60 - 65,7992,8755,16747
65 - 70,6706,6820,13526
70 - 75,5221,5426,10647
75 - 80,3045,2956,6001
80 - 85,1466,1528,2994
85 - 90,445,362,807
90 - 95,68,94,162
95 - 100,18,8,26
oltre 100,–,3,3
