Age_column,Male_column,Female_column,Total
0,7522,7154,14676
1,6779,6310,13089
2,5051,4556,9606
3,3986,3608,7594
4,3782,3707,7489
5,4344,4201,8545
6,5619,5282,10901
7,5492,5494,10986
8,5548,5425,10973
9,5442,5348,10790
10,5399,5314,10713
11,5483,5298,10776
12,5432,5174,10606
13,5510,5038,10548
14 - 15,5208,4881,10089
15 - 16,5160,4874,10034
16 -17,4967,4735,9702
17 - 18,4744,4488,9232
18 - 19,4253,4154,8407
19 - 20,4208,4001,8209
20 -21,3147,3523,6670
21 - 25,15517,16364,31881
25 - 30,14583,16795,31378
30 - 35,13802,15616,29418
35 - 40,12702,13939,26641
40 - 45,12202,12877,25079
45 - 50,11204,11426,22830
50 - 55,9319,9636,19955
55 - 60,8196,8418,18614
60 - 65,7609,8484,16093
65 - 70,5571,6139,11710
70 - 75,3854,4538,8389
75 - 80,1810,2082,3892
80 - 85,753,1032,1785
85 - 90,205,340,545
90 - 95,38,96,134
95 - 100,5,18,23
oltre 100,1,3,4
