Age_column,Male_column,Female_column,Total
0,13269,12824,26093
1,12700,11858,24558
2,10397,9905,20302
3,7820,7349,15169
4,8351,7899,16250
5,8916,8377,17293
6,10755,10450,21205
7,11378,10624,22002
8,11767,11407,23174
9,11627,10867,22494
10,11651,11424,23075
11,11286,10847,22183
12,11270,10531,21801
13,10981,10267,21248
14 - 15,10671,10144,20815
15 - 16,10000,9956,19956
16 -17,9929,10008,19987
17 - 18,9409,9273,18682
18 - 19,8484,8964,17448
19 - 20,7318,8360,15678
20 -21,7223,8140,15363
21 - 25,92989,94426,63815
25 - 30,28704,85505,64209
30 - 35,27102,33329,60431
35 - 40,25690,29759,55449
40 - 45,24198,26199,50697
45 - 50,22700,23031,45731
50 - 55,21046,21548,42589
55 - 60,17892,18156,36048
60 - 65,18900,19267,38167
65 - 70,12983,12721,25704
70 - 75,9605,9941,19546
75 - 80,5411,5130,10541
80 - 85,2685,3065,5750
85 - 90,817,898,1715
90 - 95,177,241,418
95 - 100,41,62,103
oltre 100,4,8,12
