Age_column,Male_column,Female_column,Total
0,13646,12818,26464
1,12781,11932,24713
2,9768,9387,19155
3,7641,7218,14854
4,7583,7289,14872
5,8679,8068,16747
6,10328,9930,20258
7,10953,10543,21496
8,11376,10734,22110
9,10536,10270,20806
10,10344,10021,20365
11,10591,10290,20881
12,10504,10317,20821
13,9942,9486,19428
14 - 15,9643,9378,19021
15 - 16,9204,8820,18024
16 -17,9063,9058,18121
17 - 18,7856,7873,15729
18 - 19,7096,7216,14312
19 - 20,6895,7032,13727
20 -21,8848,6735,15588
21 - 25,28849,30161,59010
25 - 30,29769,32851,62620
30 - 35,28188,31145,59313
35 - 40,25040,26643,51683
40 - 45,23153,23692,46845
45 - 50,21788,20906,42644
50 - 55,18605,18227,36832
55 - 60,16655,16166,33121
60 - 65,15346,15238,30584
65 - 70,11780,11908,23683
70 - 75,8356,8893,17249
75 - 80,4743,4830,9573
80 - 85,2174,2746,4920
85 - 90,717,812,1529
90 - 95,164,230,394
95 - 100,40,49,89
oltre 100,4,3,7
