Age_column,Male_column,Female_column,Total
0,7090,6854,13944
1,6977,6744,13721
2,5242,4966,10208
3,4428,4156,8584
4,4440,4322,8762
5,5428,5134,10562
6,6292,6037,12329
7,6491,6043,12534
8,6485,5999,12484
9,5927,5516,11443
10,6022,5767,11789
11,6014,5726,11740
12,6520,5945,12465
13,6112,5822,11934
14 - 15,5544,5569,11113
15 - 16,5432,5407,10839
16 -17,5442,5615,11057
17 - 18,4869,5264,10133
18 - 19,4330,4861,9191
19 - 20,4088,4486,8574
20 -21,2835,4752,7587
21 - 25,15010,18963,33973
25 - 30,14107,19832,33939
30 - 35,11433,16347,27780
35 - 40,10358,13698,24056
40 - 45,10593,13035,23628
45 - 50,9717,11656,21373
50 - 55,9518,11699,21217
55 - 60,8232,9916,18148
60 - 65,8968,10755,19723
65 - 70,6835,7670,14505
70 - 75,5462,6039,11501
75 - 80,3070,3025,6095
80 - 85,1628,1838,3466
85 - 90,433,444,877
90 - 95,111,149,260
95 - 100,13,31,44
oltre 100,–,–,–
