Age_column,Male_column,Female_column,Total
0,7730,7257,14987
1,6970,6707,13677
2,5526,5355,10881
3,4444,4117,8563
4,4448,4319,8767
5,5267,5022,10289
6,6286,6008,12294
7,6244,6090,12334
8,6666,6045,12711
9,6000,5646,11646
10,5711,5643,11354
11,6043,5727,11770
12,6639,6432,13071
13,6816,5280,12096
14 - 15,5991,5725,11716
15 - 16,5369,5256,10625
16 -17,6114,5712,11826
17 - 18,5171,5192,10363
18 - 19,4641,5019,9660
19 - 20,4072,4515,8587
20 -21,3266,4465,7731
21 - 25,41418,43241,84659
25 - 30,14495,20329,34824
30 - 35,11711,16931,28642
35 - 40,10888,14210,25098
40 - 45,11240,14088,25328
45 - 50,11381,13120,24501
50 - 55,11008,12227,23235
55 - 60,9745,10550,20295
60 - 65,9631,10813,20444
65 - 70,7768,7794,15562
70 - 75,6551,4860,11411
75 - 80,2953,2951,5904
80 - 85,1442,1579,3021
85 - 90,464,521,985
90 - 95,102,146,248
95 - 100,20,21,41
oltre 100,1,1,2
