Age_column,Male_column,Female_column,Total
0,6438,6119,12557
1,6762,6387,13149
2,5860,5625,11485
3,4340,4141,8481
4,4742,4370,9112
5,5484,4897,10381
6,6471,5972,12443
7,6376,6177,12553
8,6886,6355,13241
9,6493,6073,12566
10,6351,6081,12432
11,6211,5827,12038
12,6788,6357,13145
13,6168,5773,11941
14 - 15,5711,5333,11044
15 - 16,4987,4861,9848
16 -17,5139,5046,10185
17 - 18,4694,4795,9489
18 - 19,4473,4760,9233
19 - 20,4068,4245,8313
20 -21,3738,4193,7931
21 - 25,15863,18304,34167
25 - 30,14652,19349,34001
30 - 35,12783,16741,29524
35 - 40,11228,14237,25465
40 - 45,11216,13423,24639
45 - 50,10089,13605,23694
50 - 55,9251,12621,21872
55 - 60,9262,9494,18756
60 - 65,7151,11945,19096
65 - 70,5773,8113,13886
70 - 75,5265,6021,11286
75 - 80,1873,4340,6213
80 - 85,651,3077,3728
85 - 90,134,1128,1262
90 - 95,23,37,60
95 - 100,2,1,3
oltre 100,—,—,—
