Age_column,Male_column,Female_column,Total
0,4277,3752,8029
1,4574,4080,8654
2,4105,3715,7820
3,3522,3079,6601
4,3396,3124,6520
5,4130,3919,8049
6,4668,4374,9042
7,4497,4071,8568
8,4778,4552,9330
9,4495,4213,8708
10,4538,4225,8763
11,4286,4170,8456
12,4531,4266,8797
13,4265,4110,8375
14 - 15,4201,4116,8317
15 - 16,3998,4021,8019
16 -17,4282,4169,8451
17 - 18,4052,3845,7897
18 - 19,3846,4056,7900
19 - 20,3678,3732,7410
20 -21,3109,3721,6830
21 - 25,13892,15153,29045
25 - 30,14182,16496,30678
30 - 35,12898,15095,27998
35 - 40,11386,13213,25049
40 - 45,11241,12113,23454
45 - 50,10706,10378,21089
50 - 55,8707,8935,17642
55 - 60,8220,7645,15865
60 - 65,7851,8388,16239
65 - 70,5839,5667,11506
70 - 75,4255,4545,8800
75 - 80,2180,2152,4332
80 - 85,1065,1494,2559
85 - 90,280,452,732
90 - 95,67,124,191
95 - 100,10,20,30
oltre 100,1,8,9
