Age_column,Male_column,Female_column,Total
0,11414,10658,22072
1,9679,8897,18576
2,8511,8007,16518
3,7285,7003,14288
4,7444,7283,14727
5,8607,8080,16687
6,10342,9982,20324
7,10456,9801,20257
8,10670,10186,20856
9,9889,9513,19402
10,10176,9690,19866
11,9983,9532,19515
12,9260,9156,19116
13,9483,8964,18427
14 - 15,9531,8753,18284
15 - 16,8567,8637,17204
16 -17,9091,9059,18150
17 - 18,9055,8273,17328
18 - 19,8464,8298,16762
19 - 20,8018,7621,15639
20 -21,7512,7791,15303
21 - 25,28363,29375,57738
25 - 30,27288,31605,58893
30 - 35,25313,29989,55302
35 - 40,22881,27872,50753
40 - 45,22368,24732,47100
45 - 50,20197,21518,41715
50 - 55,18158,19589,37747
55 - 60,16180,16522,32702
60 - 65,15674,16937,32611
65 - 70,12053,11729,23782
70 - 75,9505,9480,18985
75 - 80,5087,4941,10028
80 - 85,2538,2761,5299
85 - 90,594,686,1280
90 - 95,133,169,302
95 - 100,33,27,60
oltre 100,3,8,11
