Age_column,Male_column,Female_column,Total
0,7112,6676,13788
1,7144,6522,13666
2,5610,5189,10799
3,4386,4135,8521
4,4710,4609,9819
5,5679,5275,10954
6,6756,6439,13195
7,6795,6766,13561
8,7109,6820,13729
9,6741,6348,13089
10,6541,6533,13074
11,6816,6378,13194
12,6965,6611,13576
13,6315,6079,12394
14 - 15,5660,5532,11192
15 - 16,5404,5474,10878
16 -17,5702,5783,11485
17 - 18,5220,5363,10583
18 - 19,4914,5249,10163
19 - 20,4660,4819,9479
20 -21,4495,5008,9503
21 - 25,17324,20333,37657
25 - 30,18538,23106,41644
30 - 35,16824,20958,37782
35 - 40,15305,18040,33845
40 - 45,14459,15866,30325
45 - 50,13791,14688,28429
50 - 55,13010,13554,26564
55 - 60,12646,12352,24998
60 - 65,11470,12067,23537
65 - 70,8686,8616,17302
70 - 75,7325,7164,14489
75 - 80,4087,3559,7646
80 - 85,2161,2107,4268
85 - 90,716,600,1316
90 - 95,178,199,377
95 - 100,40,40,80
oltre 100,9,12,21
