Age_column,Male_column,Female_column,Total
0,4914,4414,9358
1,4779,4326,9106
2,4289,3781,8070
3,2662,3152,6814
4,3645,3383,6978
5,4170,3770,7940
6,4794,4393,9187
7,4676,4381,9007
8,5268,4584,9852
9,4995,4523,9518
10,4911,4678,9589
11,4714,4347,9061
12,5197,4637,9834
13,4794,4294,9088
14 - 15,4856,4414,9270
15 - 16,4563,4224,8787
16 -17,4673,4573,9246
17 - 18,4239,3905,8144
18 - 19,4426,4284,8710
19 - 20,3637,3435,7072
20 -21,3668,3890,7558
21 - 25,13566,13038,26544
25 - 30,12934,14616,27550
30 - 35,12762,13590,26352
35 - 40,11318,12508,23826
40 - 45,11604,12274,23878
45 - 50,10761,9769,20530
50 - 55,9501,9626,19127
55 - 60,7783,7262,15045
60 - 65,8717,8421,17138
65 - 70,5963,5458,11416
70 - 75,4665,4268,8933
75 - 80,2204,1827,4031
80 - 85,1114,1133,2247
85 - 90,225,240,465
90 - 95,61,54,115
95 - 100,10,17,27
oltre 100,1,2,3
