Age_column,Male_column,Female_column,Total
0,4350,3981.0,8331
1,4852,4222.0,9074
2,4511,3863.0,8174
3,3280,2874.0,6154
4,3446,3006.0,6452
5,3882,3548.0,7430
6,4298,3884.0,8182
7,4196,3847.0,8043
8,4847,4333.0,9180
9,4566,4202.0,8768
10,4646,4465.0,9111
11,4255,3976.0,8231
12,4765,4289.0,9054
13,4351,3834.0,8186
14 - 15,4383,3776.0,8158
15 - 16,4262,3807.0,8069
16 -17,4823,3892.0,8215
17 - 18,4057,3522.0,7579
18 - 19,4111,3909.0,8060
19 - 20,3487,3145.0,6682
20 -21,3102,3371.0,6473
21 - 25,13151,13132.0,26283
25 - 30,13293,13648.0,26866
30 - 35,11804,12449.0,24213
35 - 40,11210,11908.0,23118
40 - 45,11591,10992.0,22585
45 - 50,10900,9679.0,20579
50 - 55,9122,8644.0,17766
55 - 60,7761,6785.0,14546
60 - 65,8472,7748.0,16220
65 - 70,5529,4239.0,9768
70 - 75,3856,3540.0,7386
75 - 80,1814,1263.0,3177
80 - 85,928,929.0,1857
85 - 90,203,199.0,402
90 - 95,31,26.0,57
95 - 100,8,6.0,14
oltre 100,3,,3
