Age_column,Male_column,Female_column,Total
0,11515,10364,21879
1,9924,9163,19087
2,9108,8293,17441
3,7557,6994,14551
4,7395,6951,14346
5,8834,7774,16608
6,10306,9340,19646
7,9889,9378,19267
8,10708,9643,20351
9,10526,9456,19982
10,10601,9802,20403
11,10841,9374,20215
12,10597,9484,20081
13,9853,8856,18709
14 - 15,9787,8595,18382
15 - 16,9354,8538,17892
16 -17,9429,8519,17948
17 - 18,8787,7894,16681
18 - 19,8639,7984,16623
19 - 20,7374,7213,14587
20 -21,6227,7506,13733
21 - 25,28989,31650,60639
25 - 30,30512,33029,63541
30 - 35,28654,32167,60821
35 - 40,25433,28137,53570
40 - 45,25947,26670,52617
45 - 50,23374,21388,45212
50 - 55,19529,19222,38751
55 - 60,15934,15760,31694
60 - 65,16896,16654,33550
65 - 70,10737,10262,20999
70 - 75,8278,8414,16692
75 - 80,3866,3574,7440
80 - 85,1970,2402,4372
85 - 90,452,597,1049
90 - 95,113,166,279
95 - 100,30,45,75
oltre 100,4,7,11
