Age_column,Male_column,Female_column,Total
0,6861,6561,13422
1,6973,6510,13483
2,5955,5538,11493
3,4413,4250,8663
4,4678,4419,9092
5,5162,4970,10132
6,5858,5635,11493
7,6991,5651,11642
8,6097,5724,11821
9,5838,5323,11161
10,6088,5738,11821
11,5964,5733,11697
12,5824,5534,11358
13,5989,5792,11781
14 - 15,5600,5444,11134
15 - 16,5665,5378,11043
16 -17,5411,5157,10598
17 - 18,5151,5164,10305
18 - 19,4987,5178,10165
19 - 20,4834,4910,9744
20 -21,3862,4650,8512
21 - 25,15156,17731,32887
25 - 30,17378,20388,37766
30 - 35,16426,18136,34562
35 - 40,16109,16527,32836
40 - 45,16443,15766,32209
45 - 50,14480,13844,29324
50 - 55,12111,11807,23918
55 - 60,11088,10613,21701
60 - 65,9598,9501,19189
65 - 70,6914,6983,13897
70 - 75,4763,4907,9760
75 - 80,2564,2510,5074
80 - 85,1129,1257,2386
85 - 90,350,452,802
90 - 95,82,141,223
95 - 100,17,29,46
oltre 100,2,7,9
