"age_class","code","province","total","male","female"
"0","001","Torino",15407,7829,7578
"1-4","001","Torino",58074,29427,28647
"5-9","001","Torino",80654,40897,39757
"10-14","001","Torino",84262,42680,41582
"15-19","001","Torino",67108,33496,33612
"20-24","001","Torino",100991,48074,52917
"25-29","001","Torino",109811,52805,57006
"30-34","001","Torino",103967,50812,53155
"35-39","001","Torino",97896,46266,51630
"40-44","001","Torino",87734,40826,46908
"45-49","001","Torino",82829,38724,44105
"50-54","001","Torino",71358,33506,37852
"55-59","001","Torino",59977,28085,31892
"60-64","001","Torino",49720,22806,26914
"65-69","001","Torino",39104,17688,21416
"70-74","001","Torino",29341,12881,16460
"75-79","001","Torino",18483,7964,10519
"80-84","001","Torino",8564,3558,5006
"85+","001","Torino",3071,1153,1918
"0","002","Vercelli",4849,2476,2373
"1-4","002","Vercelli",18374,9401,8973
"5-9","002","Vercelli",25483,12845,12638
"10-14","002","Vercelli",26816,13495,13321
"15-19","002","Vercelli",18872,9162,9710
"20-24","002","Vercelli",30258,14391,15867
"25-29","002","Vercelli",32832,15821,17011
"30-34","002","Vercelli",30950,14906,16044
"35-39","002","Vercelli",27725,12995,14730
"40-44","002","Vercelli",25237,11299,13938
"45-49","002","Vercelli",24637,11086,13551
"50-54","002","Vercelli",21786,9683,12103
"55-59","002","Vercelli",21136,9469,11667
"60-64","002","Vercelli",17865,8207,9658
"65-69","002","Vercelli",14980,6698,8282
"70-74","002","Vercelli",12100,5510,6590
"75-79","002","Vercelli",7402,3272,4130
"80-84","002","Vercelli",3466,1452,2014
"85+","002","Vercelli",1364,528,836
"0","003","Novara",5964,3005,2959
"1-4","003","Novara",22093,11117,10976
"5-9","003","Novara",29656,15001,14655
"10-14","003","Novara",30725,15432,15293
"15-19","003","Novara",22059,11081,10978
"20-24","003","Novara",34849,17262,17587
"25-29","003","Novara",35996,17803,18193
"30-34","003","Novara",33140,16284,16856
"35-39","003","Novara",29904,14099,15805
"40-44","003","Novara",26248,12134,14114
"45-49","003","Novara",25335,11654,13681
"50-54","003","Novara",22432,10248,12184
"55-59","003","Novara",21327,9930,11397
"60-64","003","Novara",18097,8447,9650
"65-69","003","Novara",14901,6860,8041
"70-74","003","Novara",11294,5087,6207
"75-79","003","Novara",7026,3053,3973
"80-84","003","Novara",3248,1409,1839
"85+","003","Novara",1427,529,898
"0","004","Cuneo",10793,5388,5405
"1-4","004","Cuneo",41561,20981,20580
"5-9","004","Cuneo",56613,28448,28165
"10-14","004","Cuneo",58144,29294,28850
