"year","code","city","age_class","male","female","total"
1871,"001","Torino","0",1484,1557,3041
1871,"001","Torino","1-4",6691,6613,13304
1871,"001","Torino","5-9",8912,8886,17798
1871,"001","Torino","10-14",9123,9748,18871
1871,"001","Torino","15-19",10457,10454,20911
1871,"001","Torino","20-24",12474,10425,22899
1871,"001","Torino","25-29",9408,10331,19739
1871,"001","Torino","30-34",8624,9541,18165
1871,"001","Torino","35-39",7393,7799,15192
1871,"001","Torino","40-44",7454,7538,14992
1871,"001","Torino","45-49",6385,6218,12603
1871,"001","Torino","50-54",6033,5457,11490
1871,"001","Torino","55-59",4206,3590,7796
1871,"001","Torino","60-64",3792,3256,7048
1871,"001","Torino","65-69",2222,1855,4077
1871,"001","Torino","70-74",1497,1356,2853
1871,"001","Torino","75-79",611,584,1195
1871,"001","Torino","80-84",233,256,489
1871,"001","Torino","85+",74,107,181
1871,"010","Genova","0",1278,1269,2547
1871,"010","Genova","1-4",4052,4421,8473
1871,"010","Genova","5-9",5836,5918,11754
1871,"010","Genova","10-14",5668,5641,11309
1871,"010","Genova","15-19",5859,6477,12336
1871,"010","Genova","20-24",7203,6418,13621
1871,"010","Genova","25-29",5891,5936,11827
1871,"010","Genova","30-34",5601,5559,11160
1871,"010","Genova","35-39",4509,4588,9097
1871,"010","Genova","40-44",4497,4499,8996
1871,"010","Genova","45-49",3574,3236,6810
1871,"010","Genova","50-54",3390,3617,7007
1871,"010","Genova","55-59",2128,2034,4162
1871,"010","Genova","60-64",2121,2455,4576
1871,"010","Genova","65-69",1337,1302,2639
1871,"010","Genova","70-74",1007,1163,2170
1871,"010","Genova","75-79",460,499,959
1871,"010","Genova","80-84",254,331,585
1871,"010","Genova","85+",93,148,241
1871,"015","Milano","0",867,893,1760
1871,"015","Milano","1-4",5286,5515,10801
1871,"015","Milano","5-9",6950,7319,14269
1871,"015","Milano","10-14",7542,7882,15424
1871,"015","Milano","15-19",9250,9082,18332
1871,"015","Milano","20-24",12989,9944,22933
1871,"015","Milano","25-29",9742,9642,19384
1871,"015","Milano","30-34",8464,8699,17163
1871,"015","Milano","35-39",7603,7535,15138
1871,"015","Milano","40-44",7011,6800,13811
1871,"015","Milano","45-49",5917,5722,11639
1871,"015","Milano","50-54",5641,5369,11010
1871,"015","Milano","55-59",4279,4067,8346
1871,"015","Milano","60-64",4164,4178,8342
1871,"015","Milano","65-69",2530,2763,5293
1871,"015","Milano","70-74",1552,1629,3181
1871,"015","Milano","75-79",648,732,1380
1871,"015","Milano","80-84",272,329,601
1871,"015","Milano","85+",83,119,202
1871,"027","Venezia","0",1417,1371,2788
1871,"027","Venezia","1-4",4284,4339,8623
1871,"027","Venezia","5-9",5335,5346,10681
1871,"027","Venezia","10-14",5355,5429,10784
1871,"027","Venezia","15-19",5154,5615,10769
1871,"027","Venezia","20-24",5817,5513,11330
1871,"027","Venezia","25-29",4956,5743,10699
1871,"027","Venezia","30-34",4842,5375,10217
1871,"027","Venezia","35-39",4447,4886,9333
1871,"027","Venezia","40-44",4161,4482,8643
1871,"027","Venezia","45-49",3995,4012,8007
1871,"027","Venezia","50-54",3919,3835,7754
1871,"027","Venezia","55-59",2604,2593,5197
